id	active	effectiveTime	lastModified	lastModifiedBy	moduleId	publishable	published	terminologyId	description	editionUrl	externalUrl	feedbackEmail	forTranslation	inPublicationProcess	isPublic	lookupInProgress	name	namespace	provisional	refsetDescriptorUuid	revision	stagingType	terminology	type	version	workflowStatus	project_id	domain	localSet	lookupRequired	inactiveConceptCount
4830370		2016-05-31 00:00:00	2019-11-25 18:46:06	bcarlsen	45991000052106		\0	53361000052102	urval deltagandetyper socialtjänst	NULL	NULL	NULL	\0	\0	\0	\0	urval deltagandetyper socialtjänst	1000052	\0	26d3f653-f845-4f48-b9f5-dd6fa4155ca5	\0	NULL	SNOMEDCT-SE	EXTENSIONAL	MAIN/SNOMEDCT-SE/2016-11-30	PUBLISHED	155	NULL	\0	\0	NULL
4830371		2016-05-31 00:00:00	2019-11-25 18:46:06	bcarlsen	45991000052106		\0	46051000052106	urval levnadsvanor	NULL	NULL	NULL	\0	\0	\0	\0	urval levnadsvanor	1000052	\0	388ff325-7dc5-4756-9907-b97131ded6e3	\0	NULL	SNOMEDCT-SE	EXTENSIONAL	MAIN/SNOMEDCT-SE/2016-11-30	PUBLISHED	155	NULL	\0	\0	NULL
4830372		2016-05-31 00:00:00	2019-11-25 18:46:06	bcarlsen	45991000052106		\0	53371000052106	urval sambandstyper hälso- och sjukvård	NULL	NULL	NULL	\0	\0	\0	\0	urval sambandstyper hälso- och sjukvård	1000052	\0	ed49346a-e34e-4d2a-b663-ea47ec5d825c	\0	NULL	SNOMEDCT-SE	EXTENSIONAL	MAIN/SNOMEDCT-SE/2016-11-30	PUBLISHED	155	NULL	\0	\0	NULL
4830373		2016-05-31 00:00:00	2019-11-25 18:46:06	bcarlsen	45991000052106		\0	53381000052108	urval sambandstyper socialtjänst	NULL	NULL	NULL	\0	\0	\0	\0	urval sambandstyper socialtjänst	1000052	\0	3f3a2f9b-9e84-4cf3-8e0d-c071eabe5848	\0	NULL	SNOMEDCT-SE	EXTENSIONAL	MAIN/SNOMEDCT-SE/2016-11-30	PUBLISHED	155	NULL	\0	\0	NULL
4830375		2016-05-31 00:00:00	2019-11-25 18:46:06	bcarlsen	45991000052106		\0	53611000052108	urval vårdkontaktstatus	NULL	NULL	info@ihtsdo.org	\0	\0	\0	\0	urval vårdkontaktstatus	1000052	\0	26c5e96c-b50f-4c53-ab7c-fbeff7f841c9	\0	NULL	SNOMEDCT-SE	EXTENSIONAL	MAIN/SNOMEDCT-SE/2016-11-30	PUBLISHED	155	NULL	\0	\0	NULL
4830378		2016-05-31 00:00:00	2019-11-25 18:46:06	bcarlsen	45991000052106		\0	53351000052100	urval deltagandetyper hälso- och sjukvård	NULL	NULL	NULL	\0	\0	\0	\0	urval deltagandetyper hälso- och sjukvård	1000052	\0	b1df8e4d-9cff-400d-8e38-e6af137a4a45	\0	NULL	SNOMEDCT-SE	EXTENSIONAL	MAIN/SNOMEDCT-SE/2016-05-31	PUBLISHED	155	NULL	\0	\0	NULL
4830381		2016-11-30 00:00:00	2019-11-25 18:46:06	bcarlsen	45991000052106		\0	46051000052106	urval levnadsvanor	NULL	NULL	NULL	\0	\0	\0	\0	urval levnadsvanor	1000052	\0	388ff325-7dc5-4756-9907-b97131ded6e3	\0	NULL	SNOMEDCT-SE	EXTENSIONAL	MAIN/SNOMEDCT-SE/2016-11-30	PUBLISHED	155	NULL	\0	\0	NULL
4830382		2016-11-30 00:00:00	2019-11-25 18:46:06	bcarlsen	45991000052106		\0	53351000052100	urval deltagandetyper hälso- och sjukvård	NULL	NULL	NULL	\0	\0	\0	\0	urval deltagandetyper hälso- och sjukvård	1000052	\0	b1df8e4d-9cff-400d-8e38-e6af137a4a45	\0	NULL	SNOMEDCT-SE	EXTENSIONAL	MAIN/SNOMEDCT-SE/2016-11-30	PUBLISHED	155	NULL	\0	\0	NULL
4830383		2016-11-30 00:00:00	2020-02-11 13:53:51	mcollin	45991000052106		\0	53361000052102	urval deltagandetyper socialtjänst	NULL	NULL	NULL	\0	\0	\0	\0	urval deltagandetyper socialtjänst	1000052	\0	26d3f653-f845-4f48-b9f5-dd6fa4155ca5	\0	NULL	SNOMEDCT-SE	EXTENSIONAL	MAIN/SNOMEDCT-SE/2016-11-30	PUBLISHED	155	NULL	\0	\0	NULL
4830384		2016-11-30 00:00:00	2020-03-24 15:55:45	mcollin	45991000052106		\0	53371000052106	urval sambandstyper hälso- och sjukvård	NULL	NULL	NULL	\0	\0	\0	\0	urval sambandstyper hälso- och sjukvård	1000052	\0	ed49346a-e34e-4d2a-b663-ea47ec5d825c	\0	NULL	SNOMEDCT-SE	EXTENSIONAL	MAIN/SNOMEDCT-SE/2016-11-30	PUBLISHED	155	NULL	\0	\0	NULL
4830385		2016-11-30 00:00:00	2019-11-25 18:46:06	bcarlsen	45991000052106		\0	53381000052108	urval sambandstyper socialtjänst	NULL	NULL	NULL	\0	\0	\0	\0	urval sambandstyper socialtjänst	1000052	\0	3f3a2f9b-9e84-4cf3-8e0d-c071eabe5848	\0	NULL	SNOMEDCT-SE	EXTENSIONAL	MAIN/SNOMEDCT-SE/2016-11-30	PUBLISHED	155	NULL	\0	\0	NULL
4830387		2016-11-30 00:00:00	2019-11-25 18:46:06	bcarlsen	45991000052106		\0	53611000052108	urval vårdkontaktstatus	NULL	NULL	info@ihtsdo.org	\0	\0	\0	\0	urval vårdkontaktstatus	1000052	\0	26c5e96c-b50f-4c53-ab7c-fbeff7f841c9	\0	NULL	SNOMEDCT-SE	EXTENSIONAL	MAIN/SNOMEDCT-SE/2016-11-30	PUBLISHED	155	NULL	\0	\0	NULL
5639514		2017-01-31 00:00:00	2020-09-29 21:26:10	bcarlsen	718292005		\0	721144007	General Dentistry Refset	NULL	NULL	NULL	\0	\0	\0	\0	General Dentistry Diagnostic Refset	NULL	\0	38e60c0f-235a-444a-b1a0-54f5ea91d715	\0	NULL	SNOMEDCT	EXTENSIONAL	MAIN/2017-01-31	PUBLISHED	1	Dentistry	\0	\0	NULL
5746736		2016-07-31 00:00:00	2020-09-29 21:26:34	dshapiro	715152001		\0	450970008	Description of refset General Practice / Family Practice reference set	NULL	NULL	techsupport@ihtsdo.org	\0	\0	\0	\0	General Practice / Family Practice reference set	NULL	\0	cbb8a75e-c205-48be-9d3a-a54ebe861a98	\0	NULL	SNOMEDCT	EXTENSIONAL	MAIN/2017-01-31	PUBLISHED	1	NULL	\0	\0	NULL
5746737		2017-01-31 00:00:00	2020-09-29 21:28:19	dshapiro	715152001		\0	450970008	Description of refset General Practice / Family Practice reference set	NULL	NULL	techsupport@ihtsdo.org	\0	\0	\0	\0	General Practice / Family Practice reference set	NULL	\0	cbb8a75e-c205-48be-9d3a-a54ebe861a98	\0	NULL	SNOMEDCT	EXTENSIONAL	MAIN/2017-01-31	PUBLISHED	1	NULL	\0	\0	NULL
5942223		2017-01-31 00:00:00	2020-09-29 21:33:34	ygao	900000000000207008		\0	723264001	The refset contains all body structures that can be lateralised.	NULL	NULL	yga@snomed.org	\0	\0	\0	\0	Lateralizable body structure reference set	NULL	\0	3c3681f0-983d-4996-bfac-4e461d48bf2e	\0	NULL	SNOMEDCT	EXTENSIONAL	MAIN	PUBLISHED	802	anatomy	\0	\0	NULL
